class,label
1,Water
2,Urban/Built-up
3,Rice
4,Other Crops
5,Grass/Shrub
6,Woody Crops/Orchards
7,Barren
8,Evergreen Forest
9,Deciduous Forest
10,Plantation Forest
11,Mangrove Forest
12,Aquaculture
