class,label
1,High developed areas
2,Low developed areas
3,Rice paddies
4,Woody crops
5,Other croplands
6,In-house crops
7,Grassland
8,Barren land
9,Scrub/Shrub
10,Deciduous broadleaf forest
11,Evergreen broadleaf forest
12,Evergreen needle-leaf forest
13,Plantation trees
14,Plantation trees2
15,Mangrove
16,Inland wetland
17,Open water
18,Aquaculture
